lat,long,addr
39.6662,-104.835,"2806, South Wheeling Way, Heather Ridge South, Aurora, Arapahoe County, Colorado, 80014, United States"
39.3465,-90.9362,"County Road 235, Pike County, Missouri, 63336, United States"
44.9897,-122.6187,"Crooked Finger Road Northeast, Scotts Mills, Marion County, Oregon, 97375, United States"
40.3406,-120.2824,"Honey Lake State Wildlife Area (Flemming Unit), Fish and Game Road, Lassen County, California, United States"
32.274,-104.0914,"South 4th Street, Loving, Eddy County, New Mexico, 88256, United States"
34.0443,-118.2509,"Stay on Main, 640, South Main Street, Gallery Row, Downtown, Los Angeles, Los Angeles County, California, 90014, United States"
45.6892,-122.6616,"Northeast Hazel Dell Plaza, Northeast Hazel Dell, Hazel Dell, Clark County, Washington, 98665, United States"
47.9657,-116.868,"Moose Inn, 6th Avenue, Spirit Lake, Kootenai County, Idaho, 83869, United States"
32.7185,-117.1593,"1265, 6th Avenue, Core-Columbia, Banker's Hill, San Diego, San Diego County, California, 92101, United States"
38.3847,-121.9887,"Vacaville, Solano County, California, 95688, United States"
45.3304,-118.0852,"1699, T Avenue, La Grande, Union County, Oregon, 97850, United States"
40.0456,-97.4735,"6798, Road D, Thayer County, Nebraska, 68375, United States"
33.4317,-111.8469,"909, North Revere, Mesa, Maricopa County, Arizona, 85201, United States"
66.6933,-153.994,"Unorganized Borough, Alaska, United States"
48.0379,-118.9419,"Seatons Grove, Okanogan County, Washington, 99124, United States"
39.7656,-104.7069,"Denali Street, Aurora, Adams County, Colorado, 80019, United States"
33.9581,-118.1174,"9332, Stoakes Avenue, Downey, Los Angeles County, California, 90240, United States"
36.9766,-90.2848,"Kay Drive, Wayne County, Missouri, United States"
47.6633,-122.3022,"Burke-Gilman Trail, University Park, University District, Seattle, King County, Washington, 98105, United States"
38.7859,-94.244,"East Broadway Street, Pleasant Hill, Cass County, Missouri, 64080, United States"
34.6209,-120.1922,"Central Avenue, Buellton, Santa Barbara County, California, 93427, United States"
38.5769,-122.4477,"Circle Drive, Angwin, Napa County, California, 94508, United States"
36.741,-108.351,"4245, US 64, Kirtland CDP, San Juan County, New Mexico, 87417, United States"
36.5276,-93.9359,"Superstop, Missouri Route 112, Seligman, Barry County, Missouri, 65745, United States"
47.5412,-122.275,"6808, 46th Avenue South, Brighton, Rainier Valley, Seattle, King County, Washington, 98118, United States"
55.4732,-133.1171,"Sunnahae Mountain Trail, Craig, Unorganized Borough, Alaska, 99921, United States"
